App ID,App Name,Category,Rating,Reviews,Installs,Free,Price,Released,Last Updated,Developer,In-App Purchases,Last_Updated_Was_Missing,App_Age_Days,Price_Tier,Popularity_Tier
com.google.android.gm,Gmail,Communication,4.2,25000000,10000000000,TRUE,0.0,2009-10-26,2026-07-28,Google LLC,FALSE,FALSE,6120,Free,Mega Hit (10M+)
com.google.android.apps.docs,Google Drive,Productivity,4.4,8000000,10000000000,TRUE,0.0,2012-04-24,2026-07-25,Google LLC,FALSE,FALSE,5209,Free,Mega Hit (10M+)
com.google.android.inputmethod.latin,Gboard - the Google Keyboard,Tools,4.3,15000000,10000000000,TRUE,0.0,2016-05-12,2026-07-26,Google LLC,FALSE,FALSE,3730,Free,Mega Hit (10M+)
com.google.android.apps.wellbeing,Digital Wellbeing,Tools,4.1,1200000,1000000000,TRUE,0.0,2018-08-07,2026-07-20,Google LLC,FALSE,FALSE,2913,Free,Mega Hit (10M+)
com.google.android.calendar,Google Calendar,Productivity,4.6,4600000,5000000000,TRUE,0.0,2012-10-17,2026-07-27,Google LLC,FALSE,FALSE,5033,Free,Mega Hit (10M+)
jp.naver.line.android,LINE: Calls & Messages,Communication,4.1,13700000,1000000000,TRUE,0.0,2011-06-23,2026-07-24,LINE Corporation,TRUE,FALSE,5515,Free,Mega Hit (10M+)
me.pou.app,Pou,Casual,4.4,11000000,500000000,TRUE,0.0,2012-09-24,2026-07-15,Zakeh Limited,TRUE,FALSE,5056,Free,Mega Hit (10M+)
com.imangi.templerun2,Temple Run 2,Arcade,4.3,9800000,1000000000,TRUE,0.0,2013-01-23,2026-07-22,Imangi Studios,TRUE,FALSE,4935,Free,Mega Hit (10M+)
com.linecorp.b612.android,B612 AI Photo & Video Editor,Photography,4.3,7200000,500000000,TRUE,0.0,2014-10-09,2026-07-26,SNOW Corporation,TRUE,FALSE,4311,Free,Mega Hit (10M+)
com.outfit7.mytalkingangela,My Talking Angela,Casual,4.4,12000000,1000000000,TRUE,0.0,2014-11-13,2026-07-25,Outfit7 Limited,TRUE,FALSE,4275,Free,Mega Hit (10M+)
com.imangi.templerun,Temple Run,Arcade,4.3,5100000,500000000,TRUE,0.0,2012-03-26,2026-07-18,Imangi Studios,TRUE,FALSE,5238,Free,Mega Hit (10M+)
com.mobigame.zombietsunami,Zombie Tsunami,Arcade,4.5,3500000,100000000,TRUE,0.0,2012-05-30,2026-07-20,Mobigame S.A.R.L.,TRUE,FALSE,5173,Free,Mega Hit (10M+)
com.fungames.sniper3d,Sniper 3D: Gun Shooting Games,Action,4.5,18000000,500000000,TRUE,0.0,2014-11-13,2026-07-27,Wildlife Studios,TRUE,FALSE,4275,Free,Mega Hit (10M+)
com.halfbrick.fruitninjafree,Fruit Ninja,Arcade,4.4,8500000,1000000000,TRUE,0.0,2011-09-17,2026-07-21,Halfbrick Studios,TRUE,FALSE,5428,Free,Mega Hit (10M+)
com.amazon.mShop.android.shopping,Amazon Shopping,Shopping,4.4,12000000,1000000000,TRUE,0.0,2010-09-15,2026-07-28,Amazon Mobile LLC,FALSE,FALSE,5795,Free,Mega Hit (10M+)
air.com.hypah.io.slither,slither.io,Arcade,4.4,6500000,500000000,TRUE,0.0,2016-03-25,2026-07-19,Lowtech Studios,TRUE,FALSE,3778,Free,Mega Hit (10M+)
com.outfit7.mytalkingtom2,My Talking Tom 2,Casual,4.3,6700000,1000000000,TRUE,0.0,2018-11-06,2026-07-26,Outfit7 Limited,TRUE,FALSE,2822,Free,Mega Hit (10M+)
com.microsoft.office.officehubrow,Microsoft 365 (Office),Productivity,4.5,9100000,1000000000,TRUE,0.0,2020-02-16,2026-07-27,Microsoft Corporation,TRUE,FALSE,2355,Free,Mega Hit (10M+)
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,Arcade,4.4,14000000,500000000,TRUE,0.0,2013-06-13,2026-07-25,Gameloft SE,TRUE,FALSE,4794,Free,Mega Hit (10M+)
com.innersloth.spacemafia,Among Us,Action,4.1,13600000,500000000,TRUE,0.0,2018-06-15,2026-07-23,Innersloth LLC,TRUE,FALSE,2966,Free,Mega Hit (10M+)
com.outfit7.talkingtomgoldrun,Talking Tom Gold Run,Arcade,4.4,5200000,500000000,TRUE,0.0,2016-06-23,2026-07-22,Outfit7 Limited,TRUE,FALSE,3688,Free,Mega Hit (10M+)
com.skgames.drdriving,Dr. Driving,Racing,4.3,4100000,100000000,TRUE,0.0,2013-09-12,2026-07-20,SKGAMES,TRUE,FALSE,4703,Free,Mega Hit (10M+)
com.lemon.lvoverseas,CapCut - Video Editor,Video Players & Editors,4.6,12800000,1000000000,TRUE,0.0,2020-04-10,2026-07-28,Bytedance Pte. Ltd.,TRUE,FALSE,2299,Free,Mega Hit (10M+)
